,x,Before,Adjusted
0,-1459.9921962095875,3,3
1,-1451.984392419175,0,0
2,-1443.9765886287626,2,2
3,-1435.96878483835,2,2
4,-1427.9609810479376,3,3
5,-1419.953177257525,7,7
6,-1411.9453734671126,6,6
7,-1403.9375696767002,5,5
8,-1395.9297658862877,2,2
9,-1387.9219620958752,3,3
10,-1379.9141583054627,5,5
11,-1371.9063545150502,1,1
12,-1363.8985507246377,2,2
13,-1355.8907469342253,2,2
14,-1347.8829431438128,4,4
15,-1339.8751393534003,3,3
16,-1331.8673355629878,8,8
17,-1323.8595317725753,4,4
18,-1315.8517279821626,4,4
19,-1307.8439241917504,2,2
20,-1299.8361204013377,2,2
21,-1291.8283166109254,1,1
22,-1283.8205128205127,1,1
23,-1275.8127090301005,2,2
24,-1267.8049052396877,1,1
25,-1259.7971014492753,2,2
26,-1251.7892976588628,1,1
27,-1243.7814938684503,0,0
28,-1235.7736900780378,0,0
29,-1227.7658862876253,0,0
30,-1219.7580824972129,2,2
31,-1211.7502787068004,1,1
32,-1203.742474916388,1,1
33,-1195.7346711259754,0,0
34,-1187.726867335563,1,1
35,-1179.7190635451504,3,3
36,-1171.711259754738,0,0
37,-1163.7034559643255,0,0
38,-1155.695652173913,6,6
39,-1147.6878483835005,1,1
40,-1139.680044593088,2,2
41,-1131.6722408026756,1,1
42,-1123.664437012263,0,0
43,-1115.6566332218506,2,2
44,-1107.6488294314381,2,2
45,-1099.6410256410256,1,1
46,-1091.6332218506132,3,3
47,-1083.6254180602007,1,1
48,-1075.6176142697882,0,0
49,-1067.6098104793757,2,2
50,-1059.6020066889632,1,1
51,-1051.5942028985507,3,3
52,-1043.5863991081383,2,2
53,-1035.5785953177258,1,1
54,-1027.5707915273133,3,3
55,-1019.5629877369008,5,5
56,-1011.5551839464883,1,1
57,-1003.5473801560759,0,0
58,-995.5395763656633,0,0
59,-987.5317725752508,3,3
60,-979.5239687848383,2,2
61,-971.5161649944258,1,1
62,-963.5083612040133,1,1
63,-955.5005574136009,3,3
64,-947.4927536231884,2,2
65,-939.4849498327759,2,2
66,-931.4771460423634,0,0
67,-923.4693422519509,1,1
68,-915.4615384615385,0,0
69,-907.453734671126,2,2
70,-899.4459308807135,1,1
71,-891.438127090301,1,1
72,-883.4303232998885,2,2
73,-875.422519509476,0,0
74,-867.4147157190635,1,1
75,-859.406911928651,2,2
76,-851.3991081382385,2,2
77,-843.391304347826,3,3
78,-835.3835005574135,0,0
79,-827.375696767001,3,3
80,-819.3678929765886,5,5
81,-811.3600891861761,5,5
82,-803.3522853957636,0,0
83,-795.3444816053511,3,3
84,-787.3366778149386,5,5
85,-779.3288740245262,1,1
86,-771.3210702341137,3,3
87,-763.3132664437012,3,3
88,-755.3054626532887,3,3
89,-747.2976588628762,4,4
90,-739.2898550724638,2,2
91,-731.2820512820513,5,5
92,-723.2742474916388,4,4
93,-715.2664437012263,6,6
94,-707.2586399108138,5,5
95,-699.2508361204013,6,6
96,-691.2430323299888,3,3
97,-683.2352285395763,3,3
98,-675.2274247491638,2,2
99,-667.2196209587513,6,6
100,-659.2118171683388,10,10
101,-651.2040133779263,8,8
102,-643.1962095875139,6,6
103,-635.1884057971014,9,9
104,-627.1806020066889,7,7
105,-619.1727982162764,8,8
106,-611.1649944258639,8,8
107,-603.1571906354515,6,6
108,-595.149386845039,10,10
109,-587.1415830546265,6,6
110,-579.133779264214,11,11
111,-571.1259754738015,18,18
112,-563.118171683389,7,7
113,-555.1103678929766,24,24
114,-547.1025641025641,16,16
115,-539.0947603121516,12,12
116,-531.0869565217391,13,13
117,-523.0791527313265,13,13
118,-515.071348940914,26,26
119,-507.06354515050157,20,20
120,-499.0557413600891,16,16
121,-491.0479375696766,25,25
122,-483.0401337792641,23,23
123,-475.03232998885164,30,30
124,-467.02452619843916,40,40
125,-459.0167224080267,29,29
126,-451.0089186176142,30,30
127,-443.0011148272017,40,40
128,-434.99331103678924,48,48
129,-426.98550724637676,54,54
130,-418.9777034559643,54,54
131,-410.9698996655518,41,41
132,-402.9620958751393,51,51
133,-394.95429208472683,57,57
134,-386.94648829431435,42,42
135,-378.93868450390187,43,43
136,-370.9308807134894,60,60
137,-362.9230769230769,48,48
138,-354.9152731326644,49,49
139,-346.90746934225194,49,49
140,-338.89966555183946,59,59
141,-330.891861761427,70,70
142,-322.8840579710145,70,70
143,-314.876254180602,74,74
144,-306.86845039018954,76,76
145,-298.86064659977706,64,64
146,-290.8528428093646,77,77
147,-282.8450390189521,82,82
148,-274.8372352285396,75,75
149,-266.8294314381269,73,73
150,-258.8216276477144,112,112
151,-250.81382385730194,114,114
152,-242.80602006688946,117,117
153,-234.79821627647698,115,115
154,-226.7904124860645,112,112
155,-218.78260869565202,122,122
156,-210.77480490523953,132,132
157,-202.76700111482705,137,137
158,-194.75919732441457,145,145
159,-186.7513935340021,169,169
160,-178.7435897435896,155,155
161,-170.73578595317713,149,149
162,-162.72798216276465,153,153
