,x,Before,Adjusted
0,-1432.085,8,8
1,-1396.17,21,21
2,-1360.255,12,12
3,-1324.34,19,19
4,-1288.425,11,11
5,-1252.51,7,7
6,-1216.595,3,3
7,-1180.68,4,4
8,-1144.7649999999999,8,8
9,-1108.85,7,7
10,-1072.935,6,6
11,-1037.02,8,8
12,-1001.105,9,9
13,-965.19,7,7
14,-929.275,7,7
15,-893.36,4,4
16,-857.445,6,6
17,-821.53,9,9
18,-785.615,17,17
19,-749.7,12,12
20,-713.785,21,21
21,-677.87,17,17
22,-641.955,33,33
23,-606.04,32,32
24,-570.125,50,50
25,-534.21,66,66
26,-498.2950000000001,82,82
27,-462.38,135,135
28,-426.4649999999999,181,181
29,-390.54999999999995,224,224
30,-354.635,221,221
31,-318.72,289,289
32,-282.80500000000006,332,332
33,-246.8900000000001,440,440
34,-210.97500000000014,532,532
35,-175.05999999999995,660,660
36,-139.14499999999998,706,706
37,-103.23000000000002,798,798
38,-67.31500000000005,1064,1064
39,-31.40000000000009,1223,1223
40,4.514999999999873,1483,1483
41,40.430000000000064,1732,1732
42,76.34500000000003,2030,2030
43,112.25999999999999,2558,2558
44,148.17499999999995,3110,3110
45,184.08999999999992,3733,3733
46,220.00499999999988,4377,4377
47,255.92000000000007,4808,4808
48,291.83500000000004,5886,5887
49,327.75,7167,7167
50,363.66499999999996,8236,8238
51,399.5799999999999,9798,9801
52,435.4949999999999,11080,11092
53,471.40999999999985,12559,12568
54,507.32500000000005,14352,14366
55,543.24,16649,16665
56,579.155,18965,19002
57,615.0700000000002,21643,21692
58,650.9850000000001,24006,24077
59,686.9000000000001,28706,28808
60,722.815,32510,32650
61,758.73,36332,36488
62,794.645,40982,41213
63,830.56,46200,46472
64,866.4749999999999,52589,52911
65,902.3899999999999,59430,59782
66,938.3049999999998,66517,66982
67,974.2199999999998,73873,74394
68,1010.1349999999998,81814,82455
69,1046.0499999999997,91665,92516
70,1081.9650000000001,99161,100094
71,1117.88,111644,112745
72,1153.795,122644,124074
73,1189.71,134240,135919
74,1225.625,147756,149772
75,1261.54,160901,163288
76,1297.455,176185,178970
77,1333.37,191837,195000
78,1369.2849999999999,208973,212534
79,1405.1999999999998,225288,229226
80,1441.1149999999998,241881,246297
81,1477.0299999999997,259090,264129
82,1512.9449999999997,270656,276587
83,1548.8600000000001,297951,304822
84,1584.775,310320,318285
85,1620.69,326708,336199
86,1656.605,341841,353457
87,1692.52,354772,370229
88,1728.435,525536,373242
89,1764.35,386549,396046
90,1800.2649999999999,403671,411228
91,1836.1799999999998,417092,423449
92,1872.0949999999998,426386,431822
93,1908.0099999999998,439127,443903
94,1943.9249999999997,435560,439579
95,1979.8400000000001,455173,458563
96,2015.755,460247,463151
97,2051.67,459628,462000
98,2087.585,462251,464325
99,2123.5,464155,465892
100,2159.415,459990,461398
101,2195.33,454468,455691
102,2231.245,450638,451652
103,2267.16,446473,447310
104,2303.075,439803,440435
105,2338.99,414361,414919
106,2374.9049999999997,414943,415375
107,2410.8199999999997,401594,401966
108,2446.735,387008,387304
109,2482.65,369170,369393
110,2518.565,354364,354579
111,2554.48,339611,339762
112,2590.395,322202,322348
113,2626.31,301275,301388
114,2662.2249999999995,283916,284002
115,2698.1400000000003,267758,267841
116,2734.0550000000003,250084,250134
117,2769.9700000000003,229465,229521
118,2805.885,221260,221307
119,2841.8,204653,204699
120,2877.715,189154,189182
121,2913.63,174045,174066
122,2949.545,158431,158450
123,2985.46,144928,144948
124,3021.375,135791,135800
125,3057.29,123512,123520
126,3093.205,110147,110158
127,3129.12,97939,97944
128,3165.035,90339,90346
129,3200.95,77007,77010
130,3236.865,71804,71805
131,3272.7799999999997,64565,64569
132,3308.6949999999997,58732,58733
133,3344.6099999999997,51726,51729
134,3380.5249999999996,45307,45307
135,3416.4399999999996,39279,39279
136,3452.3549999999996,34987,34987
137,3488.2699999999995,30331,30332
138,3524.1849999999995,26375,26375
139,3560.0999999999995,23941,23941
140,3596.0150000000003,21235,21235
141,3631.9300000000003,18663,18663
142,3667.8450000000003,16197,16197
143,3703.76,13578,13578
144,3739.675,11557,11557
145,3775.59,9746,9746
146,3811.505,8259,8259
147,3847.42,7495,7495
148,3883.335,6735,6735
149,3919.25,5521,5521
150,3955.165,4843,4843
151,3991.08,4686,4686
152,4026.995,3580,3580
153,4062.91,2840,2840
154,4098.825,2250,2250
155,4134.74,2032,2032
156,4170.655,1939,1939
157,4206.57,1490,1490
158,4242.485,1313,1313
159,4278.4,1146,1146
160,4314.315,982,982
161,4350.23,649,649
162,4386.1449999999995,427,427
163,4422.0599999999995,284,284
164,4457.974999999999,268,268
165,4493.889999999999,197,197
166,4529.805,138,138
167,4565.72,118,118
168,4601.635,57,57
169,4637.55,160,160
170,4673.465,62,62
171,4709.38,21,21
172,4745.295,34,34
173,4781.21,4,4
174,4817.125,6,6
175,4853.04,4,4
176,4888.955,2,2
177,4924.87,1,1
178,4960.785,1,1
179,4996.7,0,0
180,5032.615,2,2
181,5068.53,1,1
182,5104.445,0,0
183,5140.36,0,0
184,5176.275,2,2
185,5212.19,0,0
186,5248.105,0,0
187,5284.0199999999995,1,1
188,5319.9349999999995,0,0
189,5355.849999999999,0,0
190,5391.764999999999,0,0
191,5427.68,0,0
192,5463.595,2,2
193,5499.51,1,1
194,5535.425,1,1
195,5571.34,6,6
196,5607.255,3,3
197,5643.17,7,7
198,5679.085,8,8
199,5715.0,6,6
