Map Name,Group,Group difference
Battlefield of Eternity,Assassin,0.022664136335026005
Battlefield of Eternity,Specialist,0.014284729915245703
Battlefield of Eternity,Support,-0.00820340609258815
Battlefield of Eternity,Warrior,-0.03334460085705874
Blackheart's Bay,Assassin,-0.008654379058960621
Blackheart's Bay,Specialist,0.023343341650103606
Blackheart's Bay,Support,-0.013334372582995078
Blackheart's Bay,Warrior,-0.001992303703501542
Cursed Hollow,Assassin,-0.007146074874931835
Cursed Hollow,Specialist,0.021336680263570756
Cursed Hollow,Support,-0.0041529884112418754
Cursed Hollow,Warrior,-0.009916261465506396
Dragon Shire,Assassin,-0.021164573293363183
Dragon Shire,Specialist,0.041795024325989506
Dragon Shire,Support,-0.014035721815607964
Dragon Shire,Warrior,-0.005886854331784641
Garden of Terror,Assassin,0.02604010917289664
Garden of Terror,Specialist,0.0035212963508024597
Garden of Terror,Support,-0.0192340077465297
Garden of Terror,Warrior,-0.016084297881633545
Infernal Shrines,Assassin,-0.04118867406193458
Infernal Shrines,Specialist,0.06219761372899838
Infernal Shrines,Support,-0.00462065613317091
Infernal Shrines,Warrior,-0.012474602931859393
Sky Temple,Assassin,-0.023144634997723477
Sky Temple,Specialist,0.02262066757384135
Sky Temple,Support,-0.004403669724770643
Sky Temple,Warrior,0.007506547043032798
Tomb of the Spider Queen,Assassin,-0.01797325132177198
Tomb of the Spider Queen,Specialist,0.034023285214787855
Tomb of the Spider Queen,Support,-0.013565156685383453
Tomb of the Spider Queen,Warrior,-0.0021424774930273592
Towers of Doom,Assassin,-0.003980320314270605
Towers of Doom,Specialist,0.018050133275894564
Towers of Doom,Support,-0.006154875796996659
Towers of Doom,Warrior,-0.008056477048028369
