PrimaryName,Group,Difficulty,Game Date,0
Abathur,Specialist,Very Hard,2015-12-30,3931
Abathur,Specialist,Very Hard,2015-12-31,16466
Abathur,Specialist,Very Hard,2016-01-01,21382
Abathur,Specialist,Very Hard,2016-01-02,23220
Abathur,Specialist,Very Hard,2016-01-03,22901
Abathur,Specialist,Very Hard,2016-01-04,19786
Abathur,Specialist,Very Hard,2016-01-05,18089
Abathur,Specialist,Very Hard,2016-01-06,18356
Abathur,Specialist,Very Hard,2016-01-07,18848
Abathur,Specialist,Very Hard,2016-01-08,19636
Abathur,Specialist,Very Hard,2016-01-09,20707
Abathur,Specialist,Very Hard,2016-01-10,19683
Abathur,Specialist,Very Hard,2016-01-11,17226
Abathur,Specialist,Very Hard,2016-01-12,17210
Abathur,Specialist,Very Hard,2016-01-13,16918
Abathur,Specialist,Very Hard,2016-01-14,16120
Abathur,Specialist,Very Hard,2016-01-15,15788
Abathur,Specialist,Very Hard,2016-01-16,16576
Abathur,Specialist,Very Hard,2016-01-17,15996
Abathur,Specialist,Very Hard,2016-01-18,13531
Abathur,Specialist,Very Hard,2016-01-19,11138
Abathur,Specialist,Very Hard,2016-01-20,10024
Abathur,Specialist,Very Hard,2016-01-21,11952
Abathur,Specialist,Very Hard,2016-01-22,12154
Abathur,Specialist,Very Hard,2016-01-23,11983
Abathur,Specialist,Very Hard,2016-01-24,2692
Anub'arak,Warrior,Medium,2015-12-30,1252
Anub'arak,Warrior,Medium,2015-12-31,5105
Anub'arak,Warrior,Medium,2016-01-01,6997
Anub'arak,Warrior,Medium,2016-01-02,7730
Anub'arak,Warrior,Medium,2016-01-03,7491
Anub'arak,Warrior,Medium,2016-01-04,6866
Anub'arak,Warrior,Medium,2016-01-05,13454
Anub'arak,Warrior,Medium,2016-01-06,12995
Anub'arak,Warrior,Medium,2016-01-07,12101
Anub'arak,Warrior,Medium,2016-01-08,12060
Anub'arak,Warrior,Medium,2016-01-09,12749
Anub'arak,Warrior,Medium,2016-01-10,11963
Anub'arak,Warrior,Medium,2016-01-11,9495
Anub'arak,Warrior,Medium,2016-01-12,4785
Anub'arak,Warrior,Medium,2016-01-13,4710
Anub'arak,Warrior,Medium,2016-01-14,4651
Anub'arak,Warrior,Medium,2016-01-15,4541
Anub'arak,Warrior,Medium,2016-01-16,4758
Anub'arak,Warrior,Medium,2016-01-17,4756
Anub'arak,Warrior,Medium,2016-01-18,3938
Anub'arak,Warrior,Medium,2016-01-19,3245
Anub'arak,Warrior,Medium,2016-01-20,2871
Anub'arak,Warrior,Medium,2016-01-21,3422
Anub'arak,Warrior,Medium,2016-01-22,3654
Anub'arak,Warrior,Medium,2016-01-23,3481
Anub'arak,Warrior,Medium,2016-01-24,807
Artanis,Warrior,Medium,2015-12-30,4591
Artanis,Warrior,Medium,2015-12-31,17474
Artanis,Warrior,Medium,2016-01-01,23308
Artanis,Warrior,Medium,2016-01-02,24647
Artanis,Warrior,Medium,2016-01-03,24095
Artanis,Warrior,Medium,2016-01-04,20539
Artanis,Warrior,Medium,2016-01-05,19092
Artanis,Warrior,Medium,2016-01-06,19325
Artanis,Warrior,Medium,2016-01-07,18949
Artanis,Warrior,Medium,2016-01-08,19438
Artanis,Warrior,Medium,2016-01-09,20685
Artanis,Warrior,Medium,2016-01-10,19893
Artanis,Warrior,Medium,2016-01-11,18170
Artanis,Warrior,Medium,2016-01-12,45700
Artanis,Warrior,Medium,2016-01-13,38762
Artanis,Warrior,Medium,2016-01-14,32988
Artanis,Warrior,Medium,2016-01-15,30484
Artanis,Warrior,Medium,2016-01-16,30226
Artanis,Warrior,Medium,2016-01-17,27943
Artanis,Warrior,Medium,2016-01-18,22705
Artanis,Warrior,Medium,2016-01-19,9868
Artanis,Warrior,Medium,2016-01-20,8488
Artanis,Warrior,Medium,2016-01-21,10642
Artanis,Warrior,Medium,2016-01-22,11102
Artanis,Warrior,Medium,2016-01-23,10888
Artanis,Warrior,Medium,2016-01-24,2392
Arthas,Warrior,Medium,2015-12-30,1544
Arthas,Warrior,Medium,2015-12-31,5826
Arthas,Warrior,Medium,2016-01-01,7699
Arthas,Warrior,Medium,2016-01-02,8116
Arthas,Warrior,Medium,2016-01-03,7797
Arthas,Warrior,Medium,2016-01-04,6774
Arthas,Warrior,Medium,2016-01-05,6204
Arthas,Warrior,Medium,2016-01-06,6451
Arthas,Warrior,Medium,2016-01-07,6009
Arthas,Warrior,Medium,2016-01-08,6460
Arthas,Warrior,Medium,2016-01-09,6782
Arthas,Warrior,Medium,2016-01-10,6707
Arthas,Warrior,Medium,2016-01-11,6196
Arthas,Warrior,Medium,2016-01-12,14461
Arthas,Warrior,Medium,2016-01-13,12845
Arthas,Warrior,Medium,2016-01-14,12007
Arthas,Warrior,Medium,2016-01-15,11174
Arthas,Warrior,Medium,2016-01-16,11218
Arthas,Warrior,Medium,2016-01-17,10390
Arthas,Warrior,Medium,2016-01-18,8764
Arthas,Warrior,Medium,2016-01-19,3389
Arthas,Warrior,Medium,2016-01-20,2972
Arthas,Warrior,Medium,2016-01-21,3610
Arthas,Warrior,Medium,2016-01-22,3866
Arthas,Warrior,Medium,2016-01-23,3963
Arthas,Warrior,Medium,2016-01-24,873
Azmodan,Specialist,Easy,2015-12-30,1792
Azmodan,Specialist,Easy,2015-12-31,6565
Azmodan,Specialist,Easy,2016-01-01,9152
Azmodan,Specialist,Easy,2016-01-02,9595
Azmodan,Specialist,Easy,2016-01-03,9347
Azmodan,Specialist,Easy,2016-01-04,9218
Azmodan,Specialist,Easy,2016-01-05,24400
Azmodan,Specialist,Easy,2016-01-06,23060
Azmodan,Specialist,Easy,2016-01-07,21661
Azmodan,Specialist,Easy,2016-01-08,21957
Azmodan,Specialist,Easy,2016-01-09,22803
Azmodan,Specialist,Easy,2016-01-10,22030
Azmodan,Specialist,Easy,2016-01-11,18278
Azmodan,Specialist,Easy,2016-01-12,6943
Azmodan,Specialist,Easy,2016-01-13,6510
Azmodan,Specialist,Easy,2016-01-14,6254
Azmodan,Specialist,Easy,2016-01-15,6395
Azmodan,Specialist,Easy,2016-01-16,6618
Azmodan,Specialist,Easy,2016-01-17,6357
Azmodan,Specialist,Easy,2016-01-18,5401
Azmodan,Specialist,Easy,2016-01-19,4550
Azmodan,Specialist,Easy,2016-01-20,4252
Azmodan,Specialist,Easy,2016-01-21,4969
Azmodan,Specialist,Easy,2016-01-22,5198
Azmodan,Specialist,Easy,2016-01-23,4913
Azmodan,Specialist,Easy,2016-01-24,1123
Brightwing,Support,Hard,2015-12-30,1267
Brightwing,Support,Hard,2015-12-31,4553
Brightwing,Support,Hard,2016-01-01,6076
Brightwing,Support,Hard,2016-01-02,6926
Brightwing,Support,Hard,2016-01-03,6679
Brightwing,Support,Hard,2016-01-04,5644
Brightwing,Support,Hard,2016-01-05,5245
Brightwing,Support,Hard,2016-01-06,5468
Brightwing,Support,Hard,2016-01-07,5179
Brightwing,Support,Hard,2016-01-08,5512
Brightwing,Support,Hard,2016-01-09,5903
Brightwing,Support,Hard,2016-01-10,5624
Brightwing,Support,Hard,2016-01-11,5532
Brightwing,Support,Hard,2016-01-12,15228
Brightwing,Support,Hard,2016-01-13,13715
Brightwing,Support,Hard,2016-01-14,12464
Brightwing,Support,Hard,2016-01-15,11194
Brightwing,Support,Hard,2016-01-16,11616
Brightwing,Support,Hard,2016-01-17,10779
Brightwing,Support,Hard,2016-01-18,8800
Brightwing,Support,Hard,2016-01-19,3295
