Map Name,SubGroup,Group difference
Battlefield of Eternity,Ambusher,-0.023098946232368505
Battlefield of Eternity,Bruiser,-0.044036045298537926
Battlefield of Eternity,Burst Damage,-0.003195524732748381
Battlefield of Eternity,Healer,0.019259312891431055
Battlefield of Eternity,Siege,0.026998729546658835
Battlefield of Eternity,Support,-0.1349032601621206
Battlefield of Eternity,Sustained Damage,0.04832534486789806
Battlefield of Eternity,Tank,-0.0017448239886316622
Battlefield of Eternity,Utility,-0.0441707694667987
Blackheart's Bay,Ambusher,0.007219353951093765
Blackheart's Bay,Bruiser,-0.031146419740095754
Blackheart's Bay,Burst Damage,0.0465060594591672
Blackheart's Bay,Healer,0.007306448498889854
Blackheart's Bay,Siege,0.03879576126272161
Blackheart's Bay,Support,-0.10000873438728274
Blackheart's Bay,Sustained Damage,-0.03396572678065042
Blackheart's Bay,Tank,0.02268130337968826
Blackheart's Bay,Utility,-0.049731369874453694
Cursed Hollow,Ambusher,0.006419934041773543
Cursed Hollow,Bruiser,-0.026398203455598162
Cursed Hollow,Burst Damage,0.01624918485557559
Cursed Hollow,Healer,0.01707822285027568
Cursed Hollow,Siege,0.013272199175615146
Cursed Hollow,Support,-0.10305656400046843
Cursed Hollow,Sustained Damage,0.00025393972838215977
Cursed Hollow,Tank,0.009882944552049373
Cursed Hollow,Utility,-0.032345321548308444
Dragon Shire,Ambusher,0.05767717682713603
Dragon Shire,Bruiser,-0.024620568259940016
Dragon Shire,Burst Damage,0.026182347430924898
Dragon Shire,Healer,0.0009393939393939394
Dragon Shire,Siege,0.019965238806831664
Dragon Shire,Support,-0.07408401156724205
Dragon Shire,Sustained Damage,-0.057218645276640646
Dragon Shire,Tank,0.01312812860993454
Dragon Shire,Utility,0.009786575251575804
Garden of Terror,Ambusher,0.013154240781069585
Garden of Terror,Bruiser,-0.021416253257260938
Garden of Terror,Burst Damage,0.02178734208191857
Garden of Terror,Healer,-0.0029112698220554413
Garden of Terror,Siege,-0.012961369382350391
Garden of Terror,Support,-0.08158424165991052
Garden of Terror,Sustained Damage,0.016116421353036613
Garden of Terror,Tank,-0.00076360662834604
Garden of Terror,Utility,0.0017878350594455158
Infernal Shrines,Ambusher,-0.03692370926860457
Infernal Shrines,Bruiser,-0.030824297766452704
Infernal Shrines,Burst Damage,0.028370716722007635
Infernal Shrines,Healer,0.014698156389833272
Infernal Shrines,Siege,0.04696799099244008
Infernal Shrines,Support,-0.09355290819901892
Infernal Shrines,Sustained Damage,-0.006862069471122124
Infernal Shrines,Tank,0.011066362106275547
Infernal Shrines,Utility,-0.023779267831071215
Sky Temple,Ambusher,-0.002114071139233021
Sky Temple,Bruiser,0.0006840777112279955
Sky Temple,Burst Damage,0.020974740015763577
Sky Temple,Healer,0.015519641668179892
Sky Temple,Siege,0.023336310125220815
Sky Temple,Support,-0.09902358419708578
Sky Temple,Sustained Damage,-0.022863085125080555
Sky Temple,Tank,0.007711541466815728
Sky Temple,Utility,-0.026903347732181424
Tomb of the Spider Queen,Ambusher,0.0008659597108575202
Tomb of the Spider Queen,Bruiser,-0.06183323441233317
Tomb of the Spider Queen,Burst Damage,0.08455594046214168
Tomb of the Spider Queen,Healer,0.0019443586342243462
Tomb of the Spider Queen,Siege,0.04847204263773692
Tomb of the Spider Queen,Support,-0.07520004672624263
Tomb of the Spider Queen,Sustained Damage,-0.04717170284663573
Tomb of the Spider Queen,Tank,0.046720786672948454
Tomb of the Spider Queen,Utility,-0.09666676404428734
Towers of Doom,Ambusher,0.05236691773096096
Towers of Doom,Bruiser,-0.033359468057838154
Towers of Doom,Burst Damage,0.015229662087117927
Towers of Doom,Healer,0.01438991683554123
Towers of Doom,Siege,-0.002556463492776504
Towers of Doom,Support,-0.0981392815160985
Towers of Doom,Sustained Damage,-0.03058707929388988
Towers of Doom,Tank,0.017648538873512813
Towers of Doom,Utility,-0.00019445524751375077
